runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_15571_b_22588_d_127,10,1,1,t_375644_b_22588_tn_0,614,t_375659_b_22588_tn_0,2227
1000000,c_15571_b_22588_d_127,403,10,1,t_375630_b_22588_tn_0,327,t_375746_b_22588_tn_0,405
1100000,c_15571_b_22588_d_127,501,11,1,t_375710_b_22588_tn_0,313,t_375685_b_22588_tn_0,1733
1200000,c_15571_b_22588_d_127,502,12,1,t_375661_b_22588_tn_0,327,t_375671_b_22588_tn_0,2227
1300000,c_15571_b_22588_d_127,503,13,1,t_907080_b_22588_tn_0,327,t_375564_b_22588_tn_0,1733
1400000,c_15571_b_22588_d_127,601,14,1,t_375592_b_22588_tn_0,100,t_375793_b_22588_tn_0,1692
1500000,c_15571_b_22588_d_127,602,15,1,t_375717_b_22588_tn_0,405,t_375784_b_22588_tn_0,405
1600000,c_15571_b_22588_d_127,603,16,1,t_375785_b_22588_tn_0,327,t_375716_b_22588_tn_0,1733
1700000,c_15571_b_22588_d_127,604,17,1,t_375697_b_22588_tn_0,327,t_375691_b_22588_tn_0,1733
1800000,c_15939_b_17535_d_31,33034,18,1,t_497560_b_17535_tn_0,2501714,t_497679_b_17535_tn_0,2501714
1900000,c_15939_b_17535_d_31,33036,19,1,t_497695_b_17535_tn_0,2501714,t_497710_b_17535_tn_0,2501714
200000,c_15571_b_22588_d_127,101,2,1,t_907046_b_22588_tn_0,123,t_907076_b_22588_tn_0,1692
2000000,c_15939_b_17535_d_31,33037,20,1,t_497711_b_17535_tn_0,2501681,t_909778_b_17535_tn_0,2501681
2100000,c_15939_b_17535_d_31,33038,21,1,t_497382_b_17535_tn_0,2501641,t_497395_b_17535_tn_0,2501641
2200000,c_15939_b_17535_d_31,33043,22,1,t_497676_b_17535_tn_0,2501714,t_497527_b_17535_tn_0,2501714
2300000,c_15939_b_17535_d_31,33045,23,1,t_497680_b_17535_tn_0,2501714,t_497692_b_17535_tn_0,2501714
2400000,c_15939_b_17535_d_31,33048,24,1,t_497730_b_17535_tn_0,2501681,t_909777_b_17535_tn_0,2501681
2500000,c_15939_b_17535_d_32,33044,25,1,t_497468_b_17535_tn_0,2501714,t_497484_b_17535_tn_0,2501714
2600000,c_15939_b_17535_d_32,33046,26,1,t_497515_b_17535_tn_0,2501641,t_497528_b_17535_tn_0,2501641
2700000,c_15939_b_17535_d_32,33047,27,1,t_497504_b_17535_tn_0,2501681,t_909774_b_17535_tn_0,2501681
2800000,c_15939_b_17535_d_32,33049,28,1,t_497424_b_17535_tn_0,2501714,t_497452_b_17535_tn_0,2501714
2900000,c_15939_b_17535_d_32,33051,29,1,t_497400_b_17535_tn_0,2501714,t_497421_b_17535_tn_0,2501714
