trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_area_id,drop_off_area_id,pickup_service_area_radius,drop_off_service_area_radius
t_375555_b_22588_tn_0,07:55:00,07:55:00,504,1,,0,0,0,0,,,,,1,1,,,,
t_375555_b_22588_tn_0,08:01:00,08:01:00,503,2,,0,0,3020.89559302685,0,,,,,1,1,,,,
t_375555_b_22588_tn_0,08:09:00,08:09:00,508,3,,0,0,12447.2072314346,0,,,,,1,1,,,,
t_375555_b_22588_tn_0,,,509,4,,0,0,13034.4801959774,0,,,,,1,1,,,,
t_375555_b_22588_tn_0,,,510,5,,0,0,13724.0133096095,0,,,,,1,1,,,,
t_375555_b_22588_tn_0,08:17:00,08:17:00,224,6,,0,0,14515.9451894742,0,,,,,1,1,,,,
t_375555_b_22588_tn_0,,,225,7,,0,0,14776.5599246115,0,,,,,1,1,,,,
t_375555_b_22588_tn_0,08:20:00,08:20:00,226,8,,0,0,15071.515729197,0,,,,,1,1,,,,
t_375555_b_22588_tn_0,,,227,9,,0,0,15359.8775106716,0,,,,,1,1,,,,
t_375555_b_22588_tn_0,,,228,10,,0,0,15745.1470990544,0,,,,,1,1,,,,
t_375555_b_22588_tn_0,08:24:00,08:24:00,1733,11,,0,0,17135.59440995,0,,,,,1,1,,,,
t_375556_b_22588_tn_0,08:55:00,08:55:00,504,1,,0,0,0,0,,,,,1,1,,,,
t_375556_b_22588_tn_0,09:01:00,09:01:00,503,2,,0,0,3020.89559302685,0,,,,,1,1,,,,
t_375556_b_22588_tn_0,09:09:00,09:09:00,508,3,,0,0,12447.2072314346,0,,,,,1,1,,,,
t_375556_b_22588_tn_0,,,509,4,,0,0,13034.4801959774,0,,,,,1,1,,,,
t_375556_b_22588_tn_0,,,510,5,,0,0,13724.0133096095,0,,,,,1,1,,,,
t_375556_b_22588_tn_0,09:17:00,09:17:00,224,6,,0,0,14515.9451894742,0,,,,,1,1,,,,
t_375556_b_22588_tn_0,,,225,7,,0,0,14776.5599246115,0,,,,,1,1,,,,
t_375556_b_22588_tn_0,09:20:00,09:20:00,226,8,,0,0,15071.515729197,0,,,,,1,1,,,,
t_375556_b_22588_tn_0,,,227,9,,0,0,15359.8775106716,0,,,,,1,1,,,,
t_375556_b_22588_tn_0,,,228,10,,0,0,15745.1470990544,0,,,,,1,1,,,,
t_375556_b_22588_tn_0,09:24:00,09:24:00,1733,11,,0,0,17135.59440995,0,,,,,1,1,,,,
t_375557_b_22588_tn_0,09:55:00,09:55:00,504,1,,0,0,0,0,,,,,1,1,,,,
t_375557_b_22588_tn_0,10:01:00,10:01:00,503,2,,0,0,3020.89559302685,0,,,,,1,1,,,,
t_375557_b_22588_tn_0,10:09:00,10:09:00,508,3,,0,0,12447.2072314346,0,,,,,1,1,,,,
t_375557_b_22588_tn_0,,,509,4,,0,0,13034.4801959774,0,,,,,1,1,,,,
t_375557_b_22588_tn_0,,,510,5,,0,0,13724.0133096095,0,,,,,1,1,,,,
t_375557_b_22588_tn_0,10:17:00,10:17:00,224,6,,0,0,14515.9451894742,0,,,,,1,1,,,,
t_375557_b_22588_tn_0,,,225,7,,0,0,14776.5599246115,0,,,,,1,1,,,,
t_375557_b_22588_tn_0,10:20:00,10:20:00,226,8,,0,0,15071.515729197,0,,,,,1,1,,,,
t_375557_b_22588_tn_0,,,227,9,,0,0,15359.8775106716,0,,,,,1,1,,,,
t_375557_b_22588_tn_0,,,228,10,,0,0,15745.1470990544,0,,,,,1,1,,,,
t_375557_b_22588_tn_0,10:24:00,10:24:00,1733,11,,0,0,17135.59440995,0,,,,,1,1,,,,
t_375558_b_22588_tn_0,10:55:00,10:55:00,504,1,,0,0,0,0,,,,,1,1,,,,
t_375558_b_22588_tn_0,11:01:00,11:01:00,503,2,,0,0,3020.89559302685,0,,,,,1,1,,,,
t_375558_b_22588_tn_0,11:09:00,11:09:00,508,3,,0,0,12447.2072314346,0,,,,,1,1,,,,
t_375558_b_22588_tn_0,,,509,4,,0,0,13034.4801959774,0,,,,,1,1,,,,
t_375558_b_22588_tn_0,,,510,5,,0,0,13724.0133096095,0,,,,,1,1,,,,
t_375558_b_22588_tn_0,11:17:00,11:17:00,224,6,,0,0,14515.9451894742,0,,,,,1,1,,,,
t_375558_b_22588_tn_0,,,225,7,,0,0,14776.5599246115,0,,,,,1,1,,,,
t_375558_b_22588_tn_0,11:20:00,11:20:00,226,8,,0,0,15071.515729197,0,,,,,1,1,,,,
t_375558_b_22588_tn_0,,,227,9,,0,0,15359.8775106716,0,,,,,1,1,,,,
t_375558_b_22588_tn_0,,,228,10,,0,0,15745.1470990544,0,,,,,1,1,,,,
t_375558_b_22588_tn_0,11:24:00,11:24:00,1733,11,,0,0,17135.59440995,0,,,,,1,1,,,,
t_375559_b_22588_tn_0,11:55:00,11:55:00,504,1,,0,0,0,0,,,,,1,1,,,,
t_375559_b_22588_tn_0,12:01:00,12:01:00,503,2,,0,0,3020.89559302685,0,,,,,1,1,,,,
t_375559_b_22588_tn_0,12:09:00,12:09:00,508,3,,0,0,12447.2072314346,0,,,,,1,1,,,,
t_375559_b_22588_tn_0,,,509,4,,0,0,13034.4801959774,0,,,,,1,1,,,,
t_375559_b_22588_tn_0,,,510,5,,0,0,13724.0133096095,0,,,,,1,1,,,,
t_375559_b_22588_tn_0,12:17:00,12:17:00,224,6,,0,0,14515.9451894742,0,,,,,1,1,,,,
t_375559_b_22588_tn_0,,,225,7,,0,0,14776.5599246115,0,,,,,1,1,,,,
t_375559_b_22588_tn_0,12:20:00,12:20:00,226,8,,0,0,15071.515729197,0,,,,,1,1,,,,
t_375559_b_22588_tn_0,,,227,9,,0,0,15359.8775106716,0,,,,,1,1,,,,
t_375559_b_22588_tn_0,,,228,10,,0,0,15745.1470990544,0,,,,,1,1,,,,
t_375559_b_22588_tn_0,12:24:00,12:24:00,1733,11,,0,0,17135.59440995,0,,,,,1,1,,,,
